iter	Passed	Remaining
1344	64181	6394
1345	64234	6347
1346	64278	6299
1347	64326	6251
1348	64377	6203
1349	64430	6156
1350	64478	6108
1351	64531	6061
1352	64578	6013
1353	64630	5966
1354	64685	5919
1355	64739	5872
1356	64789	5824
1357	64845	5777
1358	64895	5730
1359	64943	5682
1360	64990	5634
1361	65036	5586
1362	65081	5538
1363	65129	5491
1364	65177	5443
1365	65225	5395
1366	65269	5347
1367	65315	5299
1368	65366	5252
1369	65412	5204
1370	65458	5156
1371	65501	5108
1372	65547	5060
1373	65595	5012
1374	65640	4964
1375	65688	4917
1376	65737	4869
1377	65786	4821
1378	65832	4773
1379	65885	4726
1380	65936	4679
1381	65983	4631
1382	66030	4583
1383	66077	4535
1384	66124	4487
1385	66177	4440
1386	66222	4392
1387	66272	4344
1388	66323	4297
1389	66370	4249
1390	66417	4201
1391	66467	4154
1392	66521	4106
1393	66570	4059
1394	66616	4011
1395	66669	3963
1396	66723	3916
1397	66774	3868
1398	66824	3821
1399	66869	3773
1400	66911	3725
1401	66959	3677
1402	67006	3629
1403	67052	3581
1404	67115	3534
1405	67169	3487
1406	67227	3440
1407	67282	3392
1408	67331	3345
1409	67381	3297
1410	67427	3249
1411	67476	3201
1412	67526	3154
1413	67576	3106
1414	67625	3058
1415	67675	3010
1416	67723	2963
1417	67771	2915
1418	67822	2867
1419	67872	2820
1420	67927	2772
1421	67976	2724
1422	68023	2676
1423	68072	2629
1424	68119	2581
1425	68167	2533
1426	68210	2485
1427	68259	2437
1428	68307	2390
1429	68353	2342
1430	68404	2294
1431	68454	2246
1432	68500	2198
1433	68547	2151
1434	68594	2103
1435	68639	2055
1436	68691	2007
1437	68743	1959
1438	68787	1912
1439	68838	1864
1440	68890	1816
1441	68939	1768
1442	68987	1721
1443	69032	1673
1444	69079	1625
1445	69132	1577
1446	69184	1529
1447	69229	1482
1448	69285	1434
1449	69336	1386
1450	69386	1338
1451	69435	1291
1452	69486	1243
1453	69534	1195
1454	69583	1147
1455	69626	1099
1456	69676	1052
1457	69719	1004
1458	69765	956
1459	69808	908
1460	69855	860
1461	69904	812
1462	69951	765
