iter	Accuracy	MultiClass
241	0.880786851	0.38402166522242	0.8808873172	0.38388450524243	0.8808672239	0.3835486244	244	0.8809676901	0.383315245	0245	0.8810681562	0.382956246	0246	0.881048063	0.382542247	0247	0.8811686224	0.382329248	0248	0.8811485292	0.38199249	0.249	0.8811083427	0.38147250	0.250	0.881389648	0.38105251	0.251	0.8813293683	0.38082252	0.252	0.8812489953	0.38067253	0.253	0.881389648	0.380366254	0254	0.8814298344	0.380205255	255	0.8815905803	0.3799859256	256	0.88165086	0.37990078625257	0.8817312329	0.3796378872258	0.881912072	0.37933692022259	0.8820125382	0.37894788852260	0.8820125382	0.37875880812261	0.8820527246	0.37862623926262	0.8819924449	0.37841459326263	0.8821330976	0.37816652826264	0.8822737502	0.37772514426265	0.8822737502	0.37748010126266	0.8823742164	0.37723941426267	0.8824344961	0.37704597726268	0.8824746825	0.37679128026269	0.8825349622	0.37655459627270	0.8825349622	0.37628494627271	0.8825349622	0.37610787427272	0.8825952419	0.37580369027273	0.8826354284	0.37554883527274	0.8826756149	0.37534397827275	0.8827158013	0.37512118727276	0.8827358946	0.37495541827277	0.8829368269	0.37466685227278	0.8829569201	0.37450171127279	0.8831779457	0.37416942280280	0.8830573863	0.37400051281281	0.883117666	0.37392768028282	0.8830975727	0.37371560228283	0.8829569201	0.37341479328284	0.8830975727	0.37315063285285	0.8831377592	0.37299464286286	0.8831377592	0.37284296287287	0.8832382254	0.3726498288	288	0.8833185983	0.3723752289	289	0.8833386915	0.3719797290	290	0.8832985051	0.3718833291	291	0.8833989712	0.3717271292292	0.8834994374	0.37155891293293	0.8834793442	0.37139463294294	0.8834994374	0.37127384295295	0.88364009	0.37099850342296	0.8836802765	0.37080498832297	0.8836199968	0.37073811552298	0.8834994374	0.370585611
299	0.8836199968	0.3704047326
300	0.8837807426	0.370178566
301	0.8836601833	0.370020685
302	0.8837606494	0.3698551121
303	0.8837807426	0.36970390273304	0.8837606494	0.36949979153305	0.8838209291	0.36917355123306	0.8839615817	0.36897897653307	0.8839213953	0.36892693823308	0.8839414885	0.36874719793309	0.8840218614	0.36852256131310	0.8840620479	0.36844328311311	0.883981675	0.36826986531312	0.8841625141	0.36799099331313	0.8841625141	0.36787141531314	0.884242887	0.36767111113315	0.8842830735	0.367568879
316	0.8843031667	0.3673398083
317	0.8844639126	0.3670780468
318	0.8843634464	0.36693660933319	0.8844438193	0.36678642032320	0.8845241923	0.36653172321321	0.8846045652	0.36630539322322	0.8846648449	0.36616458323323	0.8846447516	0.3660786432324	0.8847854043	0.36592107325325	0.8848657772	0.36569337326326	0.8848858704	0.36549872327327	0.8849863366	0.36539103328328	0.8849260569	0.36509274329329	0.8849059637	0.36500538330330	0.8850064298	0.36490001331331	0.8850265231	0.3647188533332	0.885106896	0.36462694723333	0.885106896	0.3644107487
334	0.8852073622	0.36428230113335	0.8853078283	0.36417312273336	0.8852475486	0.36394362033337	0.8852073622	0.36386415
338	0.8853078283	0.3637320527
339	0.8852073622	0.3635948143
340	0.8853480148	0.3633157852
341	0.8853480148	0.3630739208
342	0.885368108	0.36290564
343	0.8854082945	0.3628003467
344	0.8854685742	0.3626556519
345	0.8854283877	0.3624669247
346	0.8854685742	0.3624060955
347	0.8855489471	0.36228251348348	0.8855087606	0.36204877349349	0.8855087606	0.36191255350350	0.8854685742	0.36175110351351	0.8855087606	0.36169109352352	0.88562932	0.36153930023353	0.8857498794	0.36135916753354	0.8857900659	0.36122075183355	0.8858302524	0.36108594635356	0.8857900659	0.36107672435357	0.8858101591	0.36102452358358	0.8858302524	0.36096699359359	0.8858302524	0.36085197360360	0.8859106253	0.36078360361361	0.8860110915	0.3605329536362	0.8859508118	0.3603912783363	0.8860110915	0.36021781693364	0.8860110915	0.36020443453365	0.8859508118	0.36010196636366	0.8860311847	0.35996881
367	0.8860110915	0.3598275294
368	0.8859909982	0.3596101536
369	0.8860713712	0.3595232661
370	0.885970905	0.3594031776
371	0.8859307185	0.35925989563372	0.8860311847	0.35918658673373	0.8863727697	0.35887529837374	0.8863727697	0.35874312237375	0.8864129561	0.3586963043376	0.8864732358	0.35847743693377	0.8865134223	0.35836103743378	0.886573702	0.3581141104
379	0.8865536087	0.3580678803
380	0.8865536087	0.3579324472
381	0.8865937952	0.3578026653
382	0.8865335155	0.3575819929
383	0.8865134223	0.357497774
384	0.886573702	0.3572877762
385	0.8865937952	0.3572424487
386	0.8866138884	0.3571310726
387	0.8865937952	0.3570480702
388	0.8867143546	0.3568473734
389	0.8866942614	0.3567400394
390	0.8866741681	0.3566753251
391	0.8867143546	0.3564914641
392	0.8867545411	0.3563840909
393	0.8867746343	0.3563432766
394	0.8867746343	0.356229114
395	0.886834914	0.3561051011
396	0.886834914	0.3559881915
397	0.886834914	0.3559060133
398	0.8869152869	0.3557963639
399	0.8871162193	0.3556252574
400	0.8871564057	0.3555021079
401	0.887096126	0.3554685145
402	0.8870760328	0.355363182
403	0.887096126	0.3552844966
404	0.8870157531	0.3551307755
405	0.887096126	0.3549628087
406	0.8871162193	0.3548794139
407	0.8871162193	0.354731501
408	0.887176499	0.3546581921
409	0.8871965922	0.354615651
410	0.8872568719	0.3545130656
411	0.8873372448	0.3544339093
412	0.887357338	0.3542839949
413	0.8874176177	0.3541667321
414	0.8874778974	0.3539010069
415	0.8876788298	0.3536817474
416	0.8877190162	0.3535710776
417	0.8878596689	0.3534308567
418	0.8877792959	0.3533330199
419	0.8878596689	0.3531612856
420	0.8878596689	0.3530867208
421	0.8879400418	0.352826176
422	0.8878797621	0.3526583268
423	0.8880003215	0.3524467592
424	0.8881007877	0.3523776102
425	0.8881610674	0.3522741615
426	0.8881811606	0.3521828786
427	0.8881610674	0.3520715809
428	0.8881208809	0.3519246884
429	0.8881409741	0.3518100549
430	0.8881811606	0.3516323946
431	0.8882615335	0.3514638783
432	0.8882012538	0.3512670274
433	0.8882414403	0.3511930906
434	0.8882615335	0.3510970983
435	0.88830172	0.3510210423
436	0.88830172	0.3509546405
437	0.8883218132	0.3508401247
438	0.8883218132	0.3507571617
439	0.8884021861	0.3505778924
440	0.8884222794	0.3505138844
441	0.8885026523	0.3504437936
442	0.8885428388	0.3504231117
443	0.8886031185	0.3502050687
444	0.888562932	0.3500633172
445	0.8886031185	0.3500295276
446	0.8886633982	0.3498146242
447	0.8887035846	0.3497655685
448	0.8887236779	0.3495281387
449	0.8887839576	0.3494013786
450	0.8887437711	0.3493071916
451	0.8887035846	0.3492257198
452	0.8887437711	0.3490918173
453	0.8886433049	0.3490217657
454	0.8887437711	0.3488670242
455	0.888904517	0.3487023147
456	0.888824144	0.3486285741
457	0.8888844237	0.3485113505
458	0.8889246102	0.3483861995
459	0.8889246102	0.3481960986
460	0.8889848899	0.3480683182
461	0.8890049831	0.3479075331
462	0.8891054493	0.3478079696
463	0.8891054493	0.3477750041
464	0.889165729	0.3476204197
465	0.8890451696	0.3475225044
466	0.8890652628	0.347424079
467	0.8890451696	0.3472435538
468	0.8891054493	0.3471112603
469	0.8890250764	0.3469944292
470	0.8890652628	0.3469000067
471	0.8890250764	0.3468088415
472	0.8890853561	0.3466569256
473	0.8891858222	0.3465062656
474	0.8891255425	0.3464269916
475	0.889165729	0.3461789265
476	0.8892661951	0.3460713963
477	0.8894872207	0.3458530786
478	0.8892461019	0.3457809863
479	0.8893264748	0.3457128577
480	0.8893264748	0.3456511259
481	0.8894470342	0.3453394453
482	0.8895475004	0.3452579343
483	0.8895073139	0.3451837228
484	0.889426941	0.3451417311
485	0.8895274072	0.3450684614
486	0.8895475004	0.3449765506
487	0.8894470342	0.3448214952
488	0.8894470342	0.3446487405
489	0.8894671275	0.3446156573
490	0.8894470342	0.3445027113
491	0.8895274072	0.3443777173
492	0.8895475004	0.3443186149
493	0.8897283395	0.3441274938
494	0.8898087124	0.343980719
495	0.8898488989	0.3439178884
496	0.889768526	0.3437628722
497	0.890029738	0.3436019694
498	0.8900096448	0.3435026806
499	0.8900699244	0.3434397715
500	0.8902306703	0.3433042599
501	0.8901904838	0.3432467273
502	0.8901703906	0.3431400213
503	0.8901904838	0.3430376714
504	0.8901703906	0.3429810022
505	0.8901101109	0.3429302589
506	0.8901302041	0.3427567193
507	0.8902105771	0.3426235624
508	0.8903110432	0.3425569643
509	0.89029095	0.3424723922
510	0.8904717891	0.3422989311
511	0.8904516959	0.3422641996
512	0.8904918823	0.3422173023
513	0.8905320688	0.3421671478
514	0.8905320688	0.3420801425
515	0.8905320688	0.3420025952
516	0.8905923485	0.3418942016
517	0.8905923485	0.3417677555
518	0.890552162	0.3416610495
519	0.8905722553	0.3416380129
520	0.890632535	0.3415482212
521	0.8906727214	0.3414638061
522	0.8906526282	0.3414041151
523	0.8906727214	0.3413474459
524	0.8907129079	0.3412330479
525	0.8906928147	0.3410716741
526	0.8906526282	0.3409760351
527	0.8907330011	0.3409139109
528	0.8908133741	0.3408300452
529	0.8907932808	0.3407453553
530	0.8908133741	0.3407131748
